AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
ARG-GH3-FL01-AP01,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516615 seconds ago
ARG-GH3-FL01-AP03,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516577 seconds ago
ARG-GH3-FL02-AP28,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516210 seconds ago
ARG-GH3-FL01-AP11,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,1,0,1993371 seconds ago
ARG-GH3-FL02-AP20,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516570 seconds ago
ARG-GH3-FL01-AP06,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516207 seconds ago
ARG-GH3-FL01-AP05,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515850 seconds ago
ARG-GH3-FL02-AP26,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515911 seconds ago
ARG-GH3-FL02-AP26,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515911 seconds ago
ARG-GH3-FL02-AP24,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515538 seconds ago
ARG-GH3-FL02-AP24,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515538 seconds ago
ARG-GH3-FL01-AP02,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,2,0,2034819 seconds ago
ARG-GH3-FL01-AP02,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515909 seconds ago
ARG-GH3-FL01-AP10,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,79,0,2102858 seconds ago
ARG-GH3-FL01-AP10,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515543 seconds ago
ARG-GH3-FL01-AP15,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,3,0,2640344 seconds ago
ARG-GH3-FL01-AP15,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4516268 seconds ago
ARG-GH3-FL02-AP19,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515356 seconds ago
ARG-GH3-FL02-AP19,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515356 seconds ago
ARG-GH3-FL01-AP08,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515352 seconds ago
ARG-GH3-FL01-AP08,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515352 seconds ago
ARG-GH3-FL02-AP27,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515358 seconds ago
ARG-GH3-FL02-AP27,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515359 seconds ago
ARG-GH3-FL02-AP17,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515547 seconds ago
ARG-GH3-FL02-AP17,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515547 seconds ago
ARG-GH3-FL01-AP09,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,62,0,1989100 seconds ago
ARG-GH3-FL01-AP09,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4515908 seconds ago
