AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
ARG-GH3-FL01-AP01,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164511 seconds ago
ARG-GH3-FL01-AP03,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164498 seconds ago
ARG-GH3-FL02-AP28,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164509 seconds ago
ARG-GH3-FL01-AP11,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164522 seconds ago
ARG-GH3-FL02-AP20,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164505 seconds ago
ARG-GH3-FL01-AP06,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164508 seconds ago
ARG-GH3-FL01-AP05,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164500 seconds ago
ARG-GH3-FL02-AP26,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164509 seconds ago
ARG-GH3-FL02-AP26,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164509 seconds ago
ARG-GH3-FL02-AP24,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164485 seconds ago
ARG-GH3-FL02-AP24,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164485 seconds ago
ARG-GH3-FL01-AP02,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164513 seconds ago
ARG-GH3-FL01-AP02,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164513 seconds ago
ARG-GH3-FL01-AP10,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164488 seconds ago
ARG-GH3-FL01-AP10,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164488 seconds ago
ARG-GH3-FL01-AP15,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164508 seconds ago
ARG-GH3-FL01-AP15,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164508 seconds ago
ARG-GH3-FL02-AP19,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164490 seconds ago
ARG-GH3-FL02-AP19,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164490 seconds ago
ARG-GH3-FL01-AP08,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164512 seconds ago
ARG-GH3-FL01-AP08,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164513 seconds ago
ARG-GH3-FL02-AP27,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164509 seconds ago
ARG-GH3-FL02-AP27,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164509 seconds ago
ARG-GH3-FL02-AP17,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164503 seconds ago
ARG-GH3-FL02-AP17,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164503 seconds ago
ARG-GH3-FL01-AP09,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164510 seconds ago
ARG-GH3-FL01-AP09,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164510 seconds ago
ARG-GH3-FL02-AP21,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164491 seconds ago
ARG-GH3-FL02-AP21,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164491 seconds ago
ARG-GH3-FL02-AP18,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164499 seconds ago
ARG-GH3-FL02-AP18,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164500 seconds ago
ARG-GH3-FL01-AP14,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164514 seconds ago
ARG-GH3-FL01-AP14,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164514 seconds ago
ARG-GH3-FL01-AP12,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164494 seconds ago
ARG-GH3-FL01-AP12,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164494 seconds ago
ARG-GH3-FL02-AP25,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164503 seconds ago
ARG-GH3-FL02-AP25,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164503 seconds ago
ARG-GH3-FL02-AP22,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164501 seconds ago
ARG-GH3-FL02-AP22,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164501 seconds ago
ARG-GH3-FL01-AP04,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164512 seconds ago
ARG-GH3-FL01-AP04,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164512 seconds ago
ARG-GH3-FL01-AP07,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164510 seconds ago
ARG-GH3-FL01-AP07,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164510 seconds ago
ARG-GH3-FL01-AP13,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164500 seconds ago
ARG-GH3-FL01-AP13,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164500 seconds ago
ARG-GH3-FL02-AP23,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,3,0,125121 seconds ago
ARG-GH3-FL02-AP23,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164512 seconds ago
ARG-GH3-FL02-AP16,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164506 seconds ago
ARG-GH3-FL02-AP16,ARG-GH1-WLANCTRL-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,164506 seconds ago
CNB-Outdoor-AP02,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,1142011 seconds ago
CNB-Outdoor-AP08,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,136,0,1164154 seconds ago
CNB-BLDA-FL01-AP06,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592025 seconds ago
CNB-BLDA-FL01-AP06,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592025 seconds ago
CNB-BLDA-FL01-AP01,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,7,0,187845 seconds ago
CNB-BLDA-FL01-AP01,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592393 seconds ago
CNB-BLDA-FL01-AP04,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,4,0,1379078 seconds ago
CNB-BLDA-FL01-AP04,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591665 seconds ago
CNB-BLDA-FL01-AP02,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591299 seconds ago
CNB-BLDA-FL01-AP02,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591299 seconds ago
CNB-BLDA-FL01-AP08,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,1,0,4232790 seconds ago
CNB-BLDA-FL01-AP08,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590941 seconds ago
CNB-BLDA-FL01-AP03,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,431,0,103943 seconds ago
CNB-BLDA-FL01-AP03,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590569 seconds ago
CNB-BLDA-FL01-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590204 seconds ago
CNB-BLDA-FL01-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590204 seconds ago
CNB-BLDA-FL01-AP05,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589836 seconds ago
CNB-BLDA-FL01-AP05,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589836 seconds ago
CNB-Outdoor-AP10,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,1,0,62,1,58415 seconds ago
CNB-BLDC-FL01-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591670 seconds ago
CNB-BLDC-FL01-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591670 seconds ago
CNB-BLDA-FL01-AP10,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589480 seconds ago
CNB-BLDA-FL01-AP10,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589480 seconds ago
CNB-BLDB-FL02-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592395 seconds ago
CNB-BLDB-FL02-AP07,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592395 seconds ago
CNB-BLDC-FL01-AP14,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,180,0,76612 seconds ago
CNB-BLDC-FL01-AP14,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592396 seconds ago
CNB-BLDC-FL01-AP04,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,6639,0,106 seconds ago
CNB-BLDC-FL01-AP04,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592040 seconds ago
CNB-BLDB-FL02-AP11,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,2515171 seconds ago
CNB-BLDB-FL02-AP11,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,2515171 seconds ago
CNB-BLDC-FL01-AP10,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591299 seconds ago
CNB-BLDC-FL01-AP10,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591299 seconds ago
CNB-BLDB-FL02-AP06,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592393 seconds ago
CNB-BLDB-FL02-AP06,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592393 seconds ago
CNB-BLDB-FL02-AP15,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,1,0,1195765 seconds ago
CNB-BLDB-FL02-AP15,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,1954587 seconds ago
CNB-BLDC-FL01-AP13,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,119,0,533086 seconds ago
CNB-BLDC-FL01-AP13,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4592033 seconds ago
CNB-BLDC-FL01-AP09,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590935 seconds ago
CNB-BLDC-FL01-AP09,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590935 seconds ago
CNB-BLDC-FL01-AP11,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,2,0,3470665 seconds ago
CNB-BLDC-FL01-AP11,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590569 seconds ago
CNB-BLDC-FL01-AP08,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,358,0,162979 seconds ago
CNB-BLDC-FL01-AP08,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4590203 seconds ago
CNB-BLDC-FL01-AP03,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589839 seconds ago
CNB-BLDC-FL01-AP03,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4589839 seconds ago
CNB-BLDB-FL01-AP06,CNB-WLC-1A.toyota.com,IOS-XE,17.9.5,0,0,0,0,4591698 seconds ago
