AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
MTM-150-G-08W-BW-TE07-A35,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,2,0,1537188 seconds ago
MTM-Gen-AP04,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,677474 seconds ago
MTM-Gen-AP05,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,2,0,1512153 seconds ago
MTM-Gen-AP03,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,6,0,1421424 seconds ago
MTM-Gen-AP01,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,677636 seconds ago
MTM-Gen-AP02,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,1,0,1345276 seconds ago
MTM-300-TE09-V10.5-C44,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,447,0,2026 seconds ago
MTM-300-TE09-V10.5-C44,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,1,5,104,1,27226 seconds ago
MTM-200-D-11T-TE-01D47,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,765,0,596 seconds ago
MTM-200-D-11T-TE-01D47,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539194 seconds ago
MTM-250-FL2-AP21,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539193 seconds ago
MTM-250-FL2-AP21,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539193 seconds ago
MTM-200-D-11T-TE-01D44,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,1026,0,9405 seconds ago
MTM-200-D-11T-TE-01D44,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538835 seconds ago
MTM-300-TE09-V10-C43,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,793,0,400 seconds ago
MTM-300-TE09-V10-C43,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,58,263,0,2380 seconds ago
MTM-200-D-12T-TE-01D45,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,2,0,0,11199 seconds ago
MTM-200-D-12T-TE-01D45,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,1,4,103,2,39 seconds ago
MTM-250-FL1-AP18,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,750,0,414 seconds ago
MTM-250-FL1-AP18,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539200 seconds ago
MTM-250-FL1-AP19,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538834 seconds ago
MTM-250-FL1-AP19,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538835 seconds ago
MTM-250-FL2-AP01,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,664,0,42 seconds ago
MTM-250-FL2-AP01,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538833 seconds ago
MTM-250-FL1-AP20,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539182 seconds ago
MTM-250-FL1-AP20,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539182 seconds ago
MTM-250-FL3-AP05,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539201 seconds ago
MTM-250-FL3-AP05,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539201 seconds ago
MTM-250-FL1-N7,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,1,400,0,5627 seconds ago
MTM-250-FL1-N7,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538822 seconds ago
MTM-250-FL3-AP04,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,484,0,5083 seconds ago
MTM-250-FL3-AP04,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538833 seconds ago
MTM-250-FL3-AP22,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539201 seconds ago
MTM-250-FL3-AP22,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539201 seconds ago
MTM-250-FL3-AP03,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,929,0,1856 seconds ago
MTM-250-FL3-AP03,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539203 seconds ago
MTM-250-FL1-AP16,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,99,0,199483 seconds ago
MTM-250-FL1-AP16,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538477 seconds ago
MTM-250-FL3-AP11,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1538842 seconds ago
MTM-250-FL3-AP11,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,84,0,18950 seconds ago
MTM-250-FL2-AP13,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,1,0,648,1,2750 seconds ago
MTM-250-FL2-AP13,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,0,0,1539202 seconds ago
MTM-250-FL3-AP14,mtm-wlanctrl-2a.mtmus.com,IOS-XE,17.9.5,0,0,916,0,3099 seconds ago
